case,hd95_mm,note
sub-r001s001,42.5440947723653,
sub-r001s002,4.47213595499958,
sub-r001s003,44.83302354291979,
sub-r001s004,9.0,
sub-r001s005,62.24146527838174,
sub-r001s006,47.138094997570704,
sub-r001s007,73.50510186374821,
sub-r001s008,44.41846462902562,
sub-r001s009,8.306623862918075,
sub-r001s010,7.0710678118654755,
sub-r001s011,72.58098924649622,
sub-r001s012,5.656854249492381,
sub-r001s013,53.9351462406472,
sub-r001s014,44.328320518603,
sub-r001s015,67.00746227100382,
sub-r001s016,20.83266665599966,
sub-r001s017,74.91328320131217,
sub-r001s018,70.46275611981126,
sub-r001s019,9.055385138137417,
sub-r001s020,20.074859899884732,
sub-r001s021,55.29014378711634,
sub-r001s022,80.30566605165541,
sub-r001s023,84.80566018845676,
sub-r001s024,51.980765673468106,
sub-r001s025,32.68026927673638,
sub-r001s026,84.08329203831163,
sub-r001s027,67.68308503607086,
sub-r001s028,73.68853370776216,
sub-r001s029,4.58257569495584,
sub-r001s030,27.459060435491963,
sub-r001s031,61.424750711744856,
sub-r001s032,53.150729063673246,
sub-r001s033,7.0710678118654755,
sub-r001s034,58.283788483591216,
sub-r001s036,52.583267300539625,
sub-r001s037,22.737634001804146,
sub-r001s038,80.24961059095551,
sub-r001s039,29.816103031751148,
sub-r002s001,50.57667446560717,
sub-r002s002,38.02630668366309,
sub-r002s003,59.57348403442592,
sub-r002s004,37.66961640367472,
sub-r002s005,45.749316934791494,
sub-r002s006,47.60252094164762,
sub-r002s007,39.72404813208241,
sub-r002s008,5.0,
sub-r002s009,67.70524351924303,
sub-r002s010,3.4641016151377544,
sub-r002s011,78.85429601486528,
sub-r002s012,16.97056274847714,
sub-r003s001,67.26812023536856,
sub-r003s002,57.83597496368502,
sub-r003s003,3.1622776601683795,
sub-r003s004,5.744562646538029,
sub-r003s005,11.575836902790225,
sub-r003s006,82.49848483457136,
sub-r003s007,67.7716754994297,
sub-r003s008,55.695601262577284,
sub-r003s009,3.7416573867739413,
sub-r003s010,71.04927867332644,
sub-r003s011,11.180339887498949,
sub-r003s012,28.6705423736629,
sub-r003s013,4.358898943540674,
sub-r003s014,8.94427190999916,
sub-r003s015,33.436506994600975,
sub-r004s001,2.449489742783178,
sub-r004s002,17.916472867168917,
sub-r004s003,40.33608806019741,
sub-r004s004,3.1622776601683795,
sub-r004s005,38.22302970723278,
sub-r004s006,19.621416870348583,
