case,hd95_mm,note
sub-r001s001,7.211102550927978,
sub-r001s002,4.69041575982343,
sub-r001s003,46.49731175025068,
sub-r001s004,8.0,
sub-r001s005,38.80721582386451,
sub-r001s006,36.41428291206625,
sub-r001s007,36.24913792078372,
sub-r001s008,21.563858652847824,
sub-r001s009,14.142135623730951,
sub-r001s010,6.48074069840786,
sub-r001s011,4.242640687119285,
sub-r001s012,8.774964387392123,
sub-r001s013,37.22902093797257,
sub-r001s014,28.319604517012593,
sub-r001s015,32.07802986469088,
sub-r001s016,20.0,
sub-r001s017,38.13135192987524,
sub-r001s018,18.627936010197157,
sub-r001s019,7.14142842854285,
sub-r001s020,11.832159566199232,
sub-r001s021,42.2965719651132,
sub-r001s022,79.96874389409902,
sub-r001s023,80.36168241145776,
sub-r001s024,52.79204485526205,
sub-r001s025,36.89173349139343,
sub-r001s026,61.5223536610881,
sub-r001s027,41.400483088968905,
sub-r001s028,67.90434448545984,
sub-r001s029,5.385164807134504,
sub-r001s030,32.984845004941285,
sub-r001s031,14.352700094407323,
sub-r001s032,54.653453687758834,
sub-r001s033,7.0,
sub-r001s034,43.669211121796096,
sub-r001s036,46.24932431938871,
sub-r001s037,24.698178070456937,
sub-r001s038,75.71657678474378,
sub-r001s039,47.16990566028302,
sub-r002s001,4.123105625617661,
sub-r002s002,38.13135192987524,
sub-r002s003,57.8013840664737,
sub-r002s004,2.23606797749979,
sub-r002s005,1.0,
sub-r002s006,31.96873472629156,
sub-r002s007,4.123105625617661,
sub-r002s008,4.47213595499958,
sub-r002s009,40.607881008493905,
sub-r002s010,2.23606797749979,
sub-r002s011,27.27636339397171,
sub-r002s012,16.822603841260722,
sub-r003s001,26.570660511172846,
sub-r003s002,38.7556447501522,
sub-r003s003,3.1622776601683795,
sub-r003s004,6.324555320336759,
sub-r003s005,5.385164807134504,
sub-r003s006,49.52776998815917,
sub-r003s007,14.730919862656235,
sub-r003s008,5.477225575051661,
sub-r003s009,6.782329983125268,
sub-r003s010,67.65352910233139,
sub-r003s011,8.306623862918075,
sub-r003s012,8.06225774829855,
sub-r003s013,72.01388754955533,
sub-r003s014,8.602325267042627,
sub-r003s015,33.76388603226827,
sub-r004s001,3.1622776601683795,
sub-r004s002,17.146428199482248,
sub-r004s003,7.54983443527075,
sub-r004s004,2.8284271247461903,
sub-r004s005,38.44476557348217,
sub-r004s006,21.95449840010015,
sub-r004s007,14.142135623730951,
sub-r004s008,24.124676163629637,
sub-r004s009,6.082762530298219,
sub-r004s010,4.0,
sub-r004s011,5.0,
sub-r004s012,11.357816691600547,
sub-r004s013,5.385164807134504,
sub-r004s014,4.242640687119285,
sub-r004s015,8.06225774829855,
sub-r004s016,3.605551275463989,
sub-r004s017,12.328828005937952,
sub-r004s018,17.97220075561143,
sub-r004s019,7.874007874011811,
sub-r004s020,6.082762530298219,
sub-r004s021,22.494443758403985,
sub-r004s022,4.242640687119285,
sub-r004s023,9.9498743710662,
sub-r004s024,6.4031242374328485,
sub-r004s025,16.881943016134134,
sub-r004s026,28.792360097775937,
sub-r004s027,6.4031242374328485,
sub-r004s028,7.615773105863909,
sub-r004s029,6.082762530298219,
sub-r004s030,5.0,
sub-r004s031,4.58257569495584,
sub-r004s032,6.708203932499369,
sub-r004s033,5.0990195135927845,
