case,hd95_mm,note
sub-r005s077,48.68264577855234,
sub-r005s081,11.40175425099138,
sub-r009s001,90.07219326740079,
sub-r009s002,84.53401682163222,
sub-r009s003,23.345235059857504,
sub-r009s004,8.0,
sub-r009s005,51.87484939737175,
sub-r009s006,44.51965857910413,
sub-r009s007,7.615773105863909,
sub-r009s008,26.1725046566048,
sub-r009s009,51.81698563212646,
sub-r009s010,116.14645926587689,
sub-r009s011,66.30987860040162,
sub-r009s012,96.74709297958259,
sub-r009s013,63.63961030678928,
sub-r009s014,74.32361670424818,
sub-r009s015,49.08156476723211,
sub-r009s016,104.77117924314874,
sub-r009s017,59.04235767650204,
sub-r009s018,80.00624975587844,
sub-r009s020,70.78841713161836,
sub-r009s021,51.264022471905186,
sub-r009s022,12.727922061357855,
sub-r009s024,30.56141357987225,
sub-r009s025,60.81940479813988,
sub-r009s026,83.55836283700154,
sub-r009s027,79.328431221095,
sub-r009s028,133.0187956643722,
sub-r009s029,93.23625904121208,
sub-r009s030,92.29301165310405,
sub-r009s031,67.1863081289633,
sub-r009s032,49.82971001320397,
sub-r009s034,57.810033731178535,
sub-r009s035,79.012657213892,
sub-r009s036,98.20386957752734,
sub-r009s037,35.185224171518364,
sub-r009s038,72.20110802473879,
sub-r009s039,69.99285677838846,
sub-r009s040,78.44743462982075,
sub-r009s041,100.66777041337511,
sub-r009s043,58.66856057549052,
sub-r009s044,45.86937976471886,
sub-r009s045,61.424750711744856,
sub-r009s046,40.80441152620633,
sub-r009s048,84.91760712596653,
sub-r009s049,55.37147279962851,
sub-r009s050,62.369864518050704,
sub-r009s051,43.01162633521314,
sub-r009s052,75.39230729988306,
sub-r009s053,72.86974680894672,
sub-r009s054,62.25752966509352,
sub-r009s055,29.949958263743873,
sub-r009s056,73.18469785412795,
sub-r009s057,45.749316934791494,
sub-r009s058,60.440052945046304,
sub-r009s060,65.92419889539804,
sub-r009s061,51.40038910358559,
sub-r009s062,86.17424209124209,
sub-r009s063,57.8013840664737,
sub-r009s064,17.916472867168917,
sub-r009s065,58.29236656715869,
sub-r009s066,75.71657678474378,
sub-r009s067,54.7905101272109,
sub-r009s071,82.80096617793781,
sub-r009s072,31.32091952673165,
sub-r009s073,64.33506042586733,
sub-r009s074,109.00917392586736,
sub-r009s075,71.20393247567159,
sub-r009s076,88.74119674649424,
sub-r009s077,74.41102068914255,
sub-r009s078,55.910642993977454,
sub-r009s079,85.14105942493316,
sub-r009s082,44.14748010928823,
sub-r009s083,4.242640687119285,
sub-r009s084,56.00892785976178,
sub-r009s085,75.69676347110224,
sub-r009s086,75.61084578286372,
sub-r009s087,54.415071441651165,
sub-r009s088,37.53664875824692,
sub-r009s089,5.0,
sub-r009s090,67.05967491719595,
sub-r009s091,60.315835400000886,
sub-r009s092,58.35237784358063,
sub-r009s093,60.382116557802114,
sub-r009s094,45.69463863518345,
sub-r009s095,95.08943158942533,
sub-r009s096,53.85164807134504,
sub-r009s097,63.82789358893179,
sub-r009s098,55.018178813915675,
sub-r009s099,45.749316934791494,
sub-r009s100,99.94498486667553,
sub-r009s102,50.73460357586329,
sub-r009s103,35.70714214271425,
sub-r009s105,42.720018726587654,
sub-r009s106,68.70953354520753,
sub-r009s107,67.97058187186572,
sub-r009s108,4.242640687119285,
sub-r009s109,50.40833264451424,
sub-r009s110,81.40024569987489,
sub-r009s111,92.91393867445294,
sub-r009s113,65.19202405202648,
sub-r009s114,16.34013463836819,
sub-r009s115,29.5296461204668,
sub-r009s117,77.110310594628,
sub-r009s118,23.49468024894146,
sub-r009s119,61.82232606429493,
sub-r009s120,74.06753674856482,
sub-r009s121,69.15200647848188,
sub-r009s122,77.26577508832743,
sub-r009s123,40.45985664828782,
sub-r009s124,48.76474136094644,
sub-r009s125,67.83804242458652,
sub-r009s126,62.20128616033595,
sub-r010s001,70.8801805866774,
sub-r010s002,87.39565206576354,
sub-r010s003,43.73785545725808,
sub-r010s004,59.36328831862332,
sub-r010s005,38.48376280978771,
sub-r010s006,54.772255750516614,
sub-r010s007,40.44749683231337,
sub-r010s008,15.132745950421556,
sub-r010s009,33.74907406137241,
sub-r010s010,7.810249675906654,
sub-r010s011,85.72630868059116,
sub-r010s012,84.74668135095321,
sub-r010s013,10.198039027185569,
sub-r010s014,25.80697580112788,
sub-r010s016,24.06241883103193,
sub-r010s018,94.45633912025174,
sub-r010s019,43.977266854592045,
sub-r010s021,3.3166247903554,
sub-r010s022,56.142675390472796,
sub-r010s023,58.008620049092706,
sub-r010s024,20.85665361461421,
sub-r010s026,1.4142135623730951,
sub-r010s027,68.1248853210044,
sub-r010s028,8.48528137423857,
sub-r010s029,65.92419889539804,
sub-r010s032,94.2443632266673,
sub-r011s001,41.53311931459037,
sub-r011s002,47.05316142407437,
sub-r011s003,66.37770710110436,
sub-r011s008,37.77565353504821,
sub-r011s010,2.449489742783178,
sub-r011s011,75.93418202627852,
sub-r011s012,34.56877203488721,
sub-r011s013,23.68543856465402,
sub-r011s014,5.0,
sub-r011s015,37.3496987939662,
sub-r011s016,37.907782842049734,
sub-r011s017,45.67274898667694,
sub-r011s018,35.369478367654786,
sub-r011s019,48.518037882832814,
sub-r011s020,49.13247398615299,
sub-r011s021,41.44876355212541,
sub-r011s022,3.1622776601683795,
