case,hd95_mm,note
sub-r009s110,90.48204241726643,
sub-r009s111,87.92041856133307,
sub-r009s113,64.25729530566937,
sub-r009s114,51.146847410177685,
sub-r009s115,37.094473981982816,
sub-r009s117,64.22616289332565,
sub-r009s118,19.261360284258224,
sub-r009s119,36.11094017053558,
sub-r009s120,55.308227236099334,
sub-r009s121,76.87652437513027,
sub-r009s122,74.35724578008521,
sub-r009s123,35.22782990761707,
sub-r009s124,50.07993610219566,
sub-r009s125,66.97014260101288,
sub-r009s126,61.773780845922005,
sub-r010s001,77.47257579298626,
sub-r010s002,31.464265445104548,
sub-r010s003,45.70557952810576,
sub-r010s004,41.060930335295616,
sub-r010s005,55.695601262577284,
sub-r010s006,54.04627646748664,
sub-r010s007,7.483314773547883,
sub-r010s008,27.820855486487112,
sub-r010s009,34.84250278036869,
sub-r010s010,12.206555615733702,
sub-r010s011,37.36308338453881,
sub-r010s012,58.90670590009256,
sub-r010s013,20.09975124224178,
sub-r010s014,34.84250278036869,
sub-r010s016,26.019223662515376,
sub-r010s018,93.66963221877195,
sub-r010s019,44.46346815083142,
sub-r010s021,52.01922721455981,
sub-r010s022,46.184412955021955,
sub-r010s023,61.71709649683789,
sub-r010s024,23.57965224510319,
sub-r010s026,25.39685019840059,
sub-r010s027,34.77067730142742,
sub-r010s028,14.352700094407323,
sub-r010s029,64.31174076325411,
sub-r010s032,94.8525170989152,
sub-r011s001,50.635955604688654,
sub-r011s002,46.52956049652737,
sub-r011s003,66.82065548915246,
sub-r011s008,23.53720459187964,
sub-r011s010,5.0,
sub-r011s011,71.93052203341777,
sub-r011s012,34.219877264537345,
sub-r011s013,61.72519744804386,
sub-r011s014,23.40939982143925,
sub-r011s015,60.778285596090974,
sub-r011s016,76.79192665899195,
sub-r011s017,59.62382074305537,
sub-r011s018,34.292856398964496,
sub-r011s019,49.20365840057018,
sub-r011s020,38.28837943815329,
sub-r011s021,55.50675634551167,
sub-r011s022,53.842362503887216,
sub-r011s023,43.94314508543966,
sub-r011s024,92.89241088485109,
sub-r011s025,73.70210309075311,
sub-r011s026,56.231663678038196,
sub-r011s027,75.21967827636595,
sub-r011s028,62.44197306299666,
sub-r011s029,4.47213595499958,
sub-r011s030,37.8021163428716,
sub-r011s031,52.354560450833695,
sub-r011s032,57.83597496368502,
sub-r011s033,60.73713855624086,
sub-r011s034,50.51732376126036,
sub-r014s002,107.45231500530828,
sub-r014s004,108.74741376235114,
sub-r014s008,48.394214530251446,
sub-r014s010,54.26785420486054,
sub-r014s015,67.3721010508059,
sub-r015s001,10.04987562112089,
sub-r015s006,22.516660498395403,
sub-r015s008,19.924858845171276,
sub-r015s009,21.095023109728988,
sub-r015s010,5.0,
sub-r015s011,8.366600265340756,
sub-r015s016,6.557438524302,
sub-r015s018,20.248456731316587,
sub-r015s019,65.6505902486794,
sub-r015s025,61.30252849597641,
sub-r015s026,77.49838707999025,
sub-r015s027,25.96150997149434,
sub-r017s104,6.48074069840786,
sub-r017s105,53.16013544000805,
sub-r017s106,10.44030650891055,
sub-r017s110,5.0,
sub-r017s116,11.224972160321824,
sub-r017s117,52.24940191045253,
sub-r017s118,39.319206502675,
sub-r017s119,19.026297590440446,
sub-r018s001,3.0,
sub-r018s007,12.083045973594572,
sub-r018s008,16.0312195418814,
sub-r018s010,59.43904440685432,
sub-r018s011,16.278820596099706,
sub-r018s012,4.69041575982343,
sub-r019s001,102.82995672468213,
sub-r019s004,27.586228448267445,
sub-r019s007,44.96665431183423,
sub-r019s008,64.6297145282261,
sub-r019s009,9.899494936611665,
sub-r019s010,48.46648326421054,
sub-r019s012,51.42956348249516,
sub-r023s001,72.42927584892728,
sub-r023s002,48.45616575834287,
sub-r023s003,7.874007874011811,
sub-r023s007,70.94363960215179,
sub-r023s008,5.0,
sub-r023s009,45.79301256742124,
sub-r023s014,31.654383582688826,
sub-r023s017,3.0,
sub-r024s002,46.411205543489174,
sub-r024s003,32.202484376209235,
sub-r024s005,4.242640687119285,
sub-r024s008,57.723478758647246,
sub-r024s011,65.5286197016235,
sub-r024s012,47.81213235152768,
sub-r024s013,54.35071296680477,
sub-r024s014,48.96937818678118,
sub-r024s018,4.242640687119285,
