case,hd95_mm,note
sub-r005s077,48.41487374764082,
sub-r005s081,9.848857801796104,
sub-r009s001,85.871997764114,
sub-r009s002,85.34049449118513,
sub-r009s003,10.954451150103322,
sub-r009s004,8.06225774829855,
sub-r009s005,48.02082881417188,
sub-r009s006,43.9089968002003,
sub-r009s007,9.433981132056603,
sub-r009s008,25.079872407968907,
sub-r009s009,52.38320341483518,
sub-r009s010,117.2945011498834,
sub-r009s011,63.655321851358195,
sub-r009s012,76.17086057016817,
sub-r009s013,64.52131430775415,
sub-r009s014,35.63705936241092,
sub-r009s015,62.65780079128216,
sub-r009s016,inf,
sub-r009s017,61.0163912403872,
sub-r009s018,60.44832503882965,
sub-r009s020,84.13085046521282,
sub-r009s021,52.5642464038057,
sub-r009s022,12.041594578792296,
sub-r009s024,47.18050444834179,
sub-r009s025,60.6217782649107,
sub-r009s026,78.08328886515987,
sub-r009s027,79.36623967405788,
sub-r009s028,80.31811750782012,
sub-r009s029,62.32976816898969,
sub-r009s030,67.43144666993287,
sub-r009s031,63.20601237224193,
sub-r009s032,36.55133376499413,
sub-r009s034,47.4236228055175,
sub-r009s035,67.36467917239716,
sub-r009s036,74.43117626371358,
sub-r009s037,56.00892785976178,
sub-r009s038,4.47213595499958,
sub-r009s039,68.84765791223403,
sub-r009s040,66.40783086353596,
sub-r009s041,87.60136985230311,
sub-r009s043,59.04235767650204,
sub-r009s044,45.70557952810576,
sub-r009s045,73.50510186374821,
sub-r009s046,64.20280367709809,
sub-r009s048,96.49870465451855,
sub-r009s049,49.44694126030446,
sub-r009s050,62.13694553162394,
sub-r009s051,41.30375285612676,
sub-r009s052,11.874342087037917,
sub-r009s053,72.86974680894672,
sub-r009s054,44.48595283907045,
sub-r009s055,53.1224999411737,
sub-r009s056,60.70420084310476,
sub-r009s057,49.34571916590131,
sub-r009s058,inf,
sub-r009s060,58.412327466040935,
sub-r009s061,46.850827100489916,
sub-r009s062,86.68333173107735,
sub-r009s063,60.44832503882965,
sub-r009s064,35.6931365951495,
sub-r009s065,58.89821729050889,
sub-r009s066,64.47480127925948,
sub-r009s067,47.16990566028302,
sub-r009s071,89.19080670113932,
sub-r009s072,49.678969393496885,
sub-r009s073,68.60029154456998,
sub-r009s074,85.99418584997477,
sub-r009s075,69.26037828369117,
sub-r009s076,85.12343978012167,
sub-r009s077,62.52199612936234,
sub-r009s078,55.52476924760696,
sub-r009s079,96.64884893261792,
sub-r009s082,60.44832503882965,
sub-r009s083,3.605551275463989,
sub-r009s084,62.64982043070834,
sub-r009s085,75.90783885739337,
sub-r009s086,87.32124598286491,
sub-r009s087,19.467922333931785,
sub-r009s088,28.792360097775937,
sub-r009s089,5.0,
sub-r009s090,44.02272140611028,
sub-r009s091,54.59853477887479,
sub-r009s092,47.20169488482379,
sub-r009s093,55.83009940883144,
sub-r009s094,46.861498055439924,
sub-r009s095,94.70480452437458,
sub-r009s096,41.02438299353203,
sub-r009s097,65.83312236253116,
sub-r009s098,18.24828759089466,
sub-r009s099,46.9148164229596,
sub-r009s100,53.97221507405454,
sub-r009s102,53.88877434122992,
sub-r009s103,41.23105625617661,
sub-r009s105,19.44222209522358,
sub-r009s106,82.97590011563598,
sub-r009s107,68.89121859859934,
sub-r009s108,4.123105625617661,
sub-r009s109,17.146428199482248,
sub-r009s110,54.415071441651165,
sub-r009s111,106.60206376989143,
sub-r009s113,64.66838485689897,
sub-r009s114,21.095023109728988,
sub-r009s115,28.071337695236398,
sub-r009s117,63.76519426771944,
sub-r009s118,5.477225575051661,
sub-r009s119,37.960505792204614,
sub-r009s120,67.24581771381771,
sub-r009s121,63.54525946126902,
sub-r009s122,48.187135212627034,
