variant,count,mean,std,median,p10,p90,min,max
AG,654.0,39.93674053477607,28.461845216602075,40.453676740300594,5.0,78.36123187647749,1.4142135623730951,133.0187956643722
CBAM,655.0,49.15582310430316,29.885271998417068,52.61178575186362,7.0,86.37476478669937,2.449489742783178,137.18964975536602
CrissCross,653.0,34.63410640294634,27.898211777404214,29.42787793912432,4.123105625617661,74.42714514879937,1.0,118.10588469674153
Plain,655.0,39.57062332954434,27.95797224512917,39.1279950930277,5.385164807134504,77.56021574131468,1.0,130.8816259067712
SE,655.0,40.5878236745276,27.335872830609564,41.02438299353203,6.0,76.8075506526575,2.8284271247461903,124.59935794377112
